model,val_f1,test_f1,test_precision,test_recall,test_roc_auc,test_pr_auc
linear_svm,0.8397435897435898,0.8417132216014898,0.8035555555555556,0.8836754643206256,0.958140805388246,0.9142388845157718
logistic_regression,0.8165467625899281,0.8101149425287356,0.7647569444444444,0.8611925708699902,0.9461827078979871,0.8804448758279715
random_forest,0.788546255506608,0.7767416346681295,0.885,0.6920821114369502,0.9391875096337139,0.8975881236533817
naive_bayes,0.7536231884057971,0.7439231204070096,0.8820375335120644,0.6432062561094819,0.9231761306321862,0.8710445734451615
bioclinicalbert,,0.8175182481751825,0.8115942028985508,0.8235294117647058,0.9535694085326438,0.8952501678888117
